instance_name,status,submitter,group,tags,variables,binaries,integers,continuous,constraints,nonzeros
bab6.mps.gz,easy,Elmar Swarat,bab,,114240,114240,0,0,29904,1283180
fhnw-schedule-paira200.mps.gz,open,Simon Felix,schedule,,20300,20100,0,200,40000,119746
fhnw-schedule-paira400.mps.gz,open,Simon Felix,schedule,,80600,80200,0,400,160000,479504
fhnw-schedule-pairb200.mps.gz,open,Simon Felix,schedule,,40200,40000,0,200,99554,298554
fhnw-schedule-pairb400.mps.gz,open,Simon Felix,schedule,,160400,160000,0,400,399096,1197100
fhnw-schedule-paira100.mps.gz,open,Simon Felix,schedule,,5150,5050,0,100,10000,29873
ivu06-big.mps.gz,open,S. Weider,ivu,,2277736,2277736,0,0,1177,23125800
gen-ip002.mps.gz,easy,Simon Bowly,generated,,41,0,41,0,24,922
gen-ip021.mps.gz,easy,Simon Bowly,generated,,35,0,35,0,28,945
gen-ip036.mps.gz,easy,Simon Bowly,generated,,29,0,29,0,46,1303
gen-ip054.mps.gz,easy,Simon Bowly,generated,,30,0,30,0,27,532
gen-ip016.mps.gz,easy,Simon Bowly,generated,,28,0,28,0,24,672
comp21-2idx.mps.gz,easy,Matias Sørensen,coursetimetabling,,10863,10792,71,0,14038,57301
comp08-2idx.mps.gz,easy,Matias Sørensen,coursetimetabling,,11554,11487,67,0,12536,51608
comp12-2idx.mps.gz,open,Matias Sørensen,coursetimetabling,,11863,11820,43,0,16803,73677
comp07-2idx.mps.gz,easy,Matias Sørensen,coursetimetabling,,17264,17155,109,0,21235,86577
aflow40b.mps.gz,easy,T. Achterberg,aflow,,2728,1364,0,1364,1442,6783
map14860-20.mps.gz,easy,Kiyan Ahmadizadeh,map,,164547,146,0,164401,328818,549920
map16715-04.mps.gz,easy,Kiyan Ahmadizadeh,map,,164547,146,0,164401,328818,549920
cvs16r106-72.mps.gz,easy,Michael Bastubbe,cvs,,2848,2848,0,0,3608,9888
neos-555424.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-15,,3815,3800,15,0,2676,15667
ic97_potential.mps.gz,easy,L. Peeters,,,728,450,73,205,1046,3138
xmas10-2.mps.gz,open,Simon Felix,,,8100,900,0,7200,8184,35561
vpphard.mps.gz,easy,C. Cardonha,,,51471,51471,0,0,47280,372305
ns1111636.mps.gz,hard,NEOS Server Submission,neos-pseudoapplication-67,,360822,13200,0,347622,13895,568444
neos-1140050.mps.gz,infeasible,NEOS Server Submission,neos-pseudoapplication-101,infeasible,40320,38640,0,1680,3795,808080
rmine21.mps.gz,open,Daniel Espinoza,rmine,,162547,162547,0,0,1441651,3514880
8div-n59k10.mps.gz,infeasible,Sascha Kurz,8div,infeasible,6143,6138,5,0,2065,539151
8div-n59k11.mps.gz,infeasible,Sascha Kurz,8div,infeasible,12287,12282,5,0,4114,2126860
8div-n59k12.mps.gz,infeasible,Sascha Kurz,8div,infeasible,24575,24570,5,0,8211,8448020
roi5alpha10n8.mps.gz,easy,Domenico Salvagnin,,,106150,105950,0,200,4665,2370220
neos-885086.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-8,,4860,2430,0,2430,11574,248310
sp98ic.mps.gz,easy,"J. Goessens, S. v. Hoessel, L. Kroon",sp9,,10894,10894,0,0,825,316317
neos-1122047.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-46,,5100,100,0,5000,57791,163640
flugplinf.mps.gz,infeasible,MIPLIB submission pool,,infeasible,18,0,11,7,19,64
neos-831188.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-94,,4612,4612,0,0,2185,11256
mkc1.mps.gz,easy,MIPLIB submission pool,,,5325,3087,0,2238,3411,17038
neos-555001.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-94,,3855,3782,73,0,3474,16649
pk1.mps.gz,easy,MIPLIB submission pool,,,86,55,0,31,45,915
p500x2988.mps.gz,easy,MIPLIB submission pool,pr_product,,5976,2988,0,2988,3488,11952
ivu06.mps.gz,open,S. Weider,ivu,,787239,787239,0,0,1177,8032300
n5-3.mps.gz,easy,A. Atamtürk,nxy-z,,2550,0,150,2400,1062,9900
neos-1425699.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-37,,105,5,80,20,89,430
ta2-UUE.mps.gz,easy,MIPLIB submission pool,network_design,,9241,1188,0,8053,2687,26533
misc07.mps.gz,easy,MIPLIB submission pool,misc,,260,259,0,1,212,8619
dsbmip.mps.gz,easy,MIPLIB submission pool,,,1886,192,0,1694,1182,7366
air03.mps.gz,easy,G. Astfalk,air,,10757,10757,0,0,124,91028
mod008inf.mps.gz,infeasible,MIPLIB submission pool,mod,infeasible,319,319,0,0,7,1562
neos-848198.mps.gz,open,NEOS Server Submission,neos-pseudoapplication-3,,10164,462,0,9702,924,29106
fiball.mps.gz,easy,MIPLIB submission pool,,,34219,33960,258,1,3707,104792
neos-807639.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-79,,1030,80,0,950,1541,5520
a2c1s1.mps.gz,easy,"M. Vyve, Y. Pochet",c1s1,,3648,192,0,3456,3312,10178
neos-555884.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-32,,3815,3800,15,0,4331,19067
Test3.mps.gz,easy,MIPLIB submission pool,,,72215,33143,0,39072,50680,617867
lrn.mps.gz,easy,MIPLIB submission pool,,,7253,2455,0,4798,8491,46123
neos-1516309.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-26,,4500,4500,0,0,489,30400
haprp.mps.gz,easy,MIPLIB submission pool,,,1828,0,1828,0,1048,3628
rout.mps.gz,easy,MIPLIB submission pool,,,556,300,15,241,291,2431
stein15inf.mps.gz,infeasible,MIPLIB submission pool,stein,infeasible,15,15,0,0,37,135
CMS750_4.mps.gz,easy,MIPLIB submission pool,,,11697,7196,0,4501,16381,44903
neos-1599274.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-26,,4500,4500,0,0,1237,46800
nh97_potential.mps.gz,easy,MIPLIB submission pool,,,1180,630,328,222,1916,5748
neos859080.mps.gz,infeasible,NEOS Server Submission,neos-pseudoapplication-96,infeasible,160,80,80,0,164,1280
mod011.mps.gz,easy,MIPLIB submission pool,mod,,10958,96,0,10862,4480,22254
bley_xs1noM.mps.gz,open,A. Bley,bley_x,,3243,2360,883,0,3290,25762
neos-787933.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-36,,236376,236376,0,0,1897,298320
sp97ic.mps.gz,easy,"J. Goessens, S. v. Hoessel, L. Kroon",sp9,,12497,12497,0,0,1033,316629
air05.mps.gz,easy,G. Astfalk,air,,7195,7195,0,0,426,52121
blend2.mps.gz,easy,MIPLIB submission pool,,,353,239,25,89,274,1409
bley_xs1.mps.gz,open,A. Bley,bley_x,,3243,2360,883,0,3290,25762
rococoC12-010001.mps.gz,open,"A. Chabrier, E. Danna, C. Le Pape, L. Perron",rococo,,16741,16554,187,0,4636,59832
gr4x6.mps.gz,easy,MIPLIB submission pool,,,48,24,0,24,34,96
n6-3.mps.gz,easy,A. Atamtürk,nxy-z,,7178,0,222,6956,2760,28268
h50x2450.mps.gz,easy,MIPLIB submission pool,fixed-cost-network-flow,,4900,2450,0,2450,2549,12152
bley_xs2.mps.gz,easy,A. Bley,bley_x,,2515,1632,883,0,2257,20861
neos-780889.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-94,,182700,182700,0,0,73910,497210
ivu59.mps.gz,open,S. Weider,ivu,,2569996,2569996,0,0,3436,36186300
neos-956971.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-48,,57756,57756,0,0,2527,483560
blp-ic98.mps.gz,easy,M. Lübbecke,blp,,13640,13550,0,90,717,191947
n7-3.mps.gz,easy,A. Atamtürk,nxy-z,,5626,0,174,5452,2336,22156
germany50-UUM.mps.gz,open,MIPLIB submission pool,network_design,,6971,0,88,6883,2088,20737
mzzv42z.mps.gz,easy,MIPLIB submission pool,,,11717,11482,235,0,10460,151261
enlight8.mps.gz,easy,A. Zymolka,enlight,,128,64,64,0,64,352
p0201.mps.gz,easy,MIPLIB submission pool,pfour,,201,201,0,0,133,1923
neos-876808.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-62,,87268,87268,0,0,85808,682376
nsa.mps.gz,easy,MIPLIB submission pool,,,388,36,0,352,1297,4204
neos-1367061.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-76,,36600,625,350,35625,102750,260250
30_70_45_095_98.mps.gz,easy,J. Walser,30_70,,10990,10989,0,1,12471,46387
neos-933562.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-94,,3032,3024,0,8,3200,28800
nu25-pr12.mps.gz,easy,MIPLIB submission pool,nus-prxy,,5868,5832,36,0,2313,17712
neos-565672.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-82,,190589,175361,0,15228,318334,809816
nu120-pr12.mps.gz,easy,MIPLIB submission pool,nus-prxy,,5868,5832,36,0,2313,17712
mik-250-20-75-5.mps.gz,easy,MIPLIB submission pool,mik_250,,270,75,175,20,195,9270
misc05inf.mps.gz,infeasible,MIPLIB submission pool,misc,infeasible,136,74,0,62,301,2946
neos-911970.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-70,,888,840,0,48,107,3408
neos-1420790.mps.gz,open,NEOS Server Submission,neos-pseudoapplication-9,,4926,540,0,4386,2310,12720
neos-1067731.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-11,,8779,6330,0,2449,3423,30998
markshare1.mps.gz,easy,"G. Cornuéjols, M. Dawande",markshare,,62,50,0,12,6,312
mik-250-20-75-3.mps.gz,easy,MIPLIB submission pool,mik_250,,270,75,175,20,195,9270
neos-914441.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-75,,15007,15006,0,1,15129,59658
irp.mps.gz,easy,MIPLIB submission pool,,,20315,20315,0,0,39,98254
neos-1324574.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-99,,5256,5256,0,0,5904,20880
g503inf.mps.gz,infeasible,MIPLIB submission pool,,infeasible,48,24,0,24,41,144
neos22.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-27,,3240,454,0,2786,5208,12312
berlin.mps.gz,easy,MIPLIB submission pool,,,5304,2652,0,2652,2704,10608
seymour1.mps.gz,easy,MIPLIB submission pool,,,1372,451,0,921,4944,33549
h80x6320d.mps.gz,easy,MIPLIB submission pool,fixed-cost-network-flow,,12640,6320,0,6320,6558,31521
neos-848589.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-77,,550539,747,0,549792,1484,1101080
neos-829552.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-95,,40971,40971,0,0,5153,86952
neos-1456979.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-102,,4605,4245,180,180,6770,36440
p200x1188c.mps.gz,easy,MIPLIB submission pool,pr_product,,2376,1188,0,1188,1388,4752
b1c1s1.mps.gz,easy,"M. Vyve, Y. Pochet",c1s1,,3872,288,0,3584,3904,11408
neos-1445743.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-88,,20344,2150,0,18194,2148,39685
markshare2.mps.gz,hard,"G. Cornuéjols, M. Dawande",markshare,,74,60,0,14,7,434
neos-957143.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-48,,57756,57756,0,0,2767,497676
manna81.mps.gz,easy,MIPLIB submission pool,,,3321,18,3303,0,6480,12960
neos-827015.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-95,,79347,79347,0,0,7688,166239
bc1.mps.gz,easy,MIPLIB submission pool,bc,,1751,252,0,1499,1913,227072
icir97_potential.mps.gz,open,MIPLIB submission pool,,,2112,1235,422,455,3314,9942
swath2.mps.gz,easy,D. Panton,swath,,6805,2406,0,4399,884,34965
ger50-17-trans-dfn-3t.mps.gz,open,C. Raack,ger50,,22414,0,18062,4352,499,172035
mas74.mps.gz,easy,MIPLIB submission pool,,,151,150,0,1,13,1706
neos-799716.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-1,,30619,910,0,29709,40418,99928
bienst1.mps.gz,easy,MIPLIB submission pool,,,505,28,0,477,576,2184
neos-826224.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-87,,41820,27540,0,14280,17266,127840
fiber.mps.gz,easy,MIPLIB submission pool,,,1298,1254,0,44,363,2944
nexp-150-20-8-5.mps.gz,easy,MIPLIB submission pool,exp_and_fc,,20115,17880,0,2235,4620,42465
prod1.mps.gz,easy,MIPLIB submission pool,,,250,149,0,101,208,5350
arki001.mps.gz,easy,MIPLIB submission pool,,,1388,442,96,850,1048,20420
rd-rplusc-21.mps.gz,easy,MIPLIB submission pool,,,622,457,0,165,125899,852384
ran12x21.mps.gz,easy,J. Aronson,ran,,504,252,0,252,285,1008
neos-595904.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-43,,4508,1148,0,3360,2452,22364
exp-1-500-5-5.mps.gz,easy,MIPLIB submission pool,exp_and_fc,,990,250,0,740,550,1980
neos-480878.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-76,,534,189,0,345,1321,44370
beasleyC1.mps.gz,easy,"F. Ortega, L. Wolsey",beasley,,2500,1250,0,1250,1750,5000
ns2071214.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-46,,2720,2220,0,500,6250,21474
30_70_45_05_100.mps.gz,easy,J. Walser,30_70,,10772,10771,0,1,12050,45889
qnet1.mps.gz,easy,MIPLIB submission pool,,,1541,1288,129,124,503,4622
ds.mps.gz,hard,MIPLIB submission pool,,,67732,67732,0,0,656,1024060
neos-953928.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-13,,23305,23305,0,0,12498,169861
markshare_4_0.mps.gz,easy,"G. Cornuéjols, M. Dawande",markshare,,34,30,0,4,4,123
khb05250.mps.gz,easy,MIPLIB submission pool,,,1350,24,0,1326,101,2700
nexp-50-20-1-1.mps.gz,easy,MIPLIB submission pool,exp_and_fc,,490,245,0,245,540,1225
qap10.mps.gz,easy,MIPLIB submission pool,,,4150,4150,0,0,1820,18200
k16x240b.mps.gz,easy,MIPLIB submission pool,fixed-cost-network-flow,,480,240,0,240,256,960
cost266-UUE.mps.gz,easy,MIPLIB submission pool,network_design,,4161,171,0,3990,1446,12312
neos-850681.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-12,,2594,2479,16,99,2067,37113
core4284-1064.mps.gz,open,"A. Caprara, M. Fischetti, P. Toth",core,,21714,21705,0,9,4287,245121
p500x2988d.mps.gz,easy,MIPLIB submission pool,pr_product,,5976,2988,0,2988,3488,11952
neos-935234.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-34,,10309,7530,0,2779,9568,55271
mik-250-20-75-2.mps.gz,easy,MIPLIB submission pool,mik_250,,270,75,175,20,195,9270
opt1217.mps.gz,easy,MIPLIB submission pool,,,769,768,0,1,64,1542
22433.mps.gz,easy,MIPLIB submission pool,,,429,231,0,198,198,3408
nexp-50-20-4-2.mps.gz,easy,MIPLIB submission pool,exp_and_fc,,1225,980,0,245,540,2695
neos-631517.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-70,,1090,859,0,231,351,2743
dell.mps.gz,infeasible,MIPLIB submission pool,,infeasible,626,105,0,521,500,4580
neos-1430701.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-8,,312,156,0,156,668,2868
ic97_tension.mps.gz,easy,MIPLIB submission pool,,,703,176,4,523,319,2070
ab69-40-100.mps.gz,easy,MIPLIB submission pool,ab,,12622,12622,0,0,11911,74233
neos-1593097.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-77,,18460,18200,0,260,798,113308
neos-948346.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-48,,57855,57855,0,0,1570,540443
neos-873061.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-61,,175288,87644,0,87644,93360,350576
mas76.mps.gz,easy,MIPLIB submission pool,,,151,150,0,1,12,1640
neos-1445532.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-88,,14406,1999,0,12407,1924,27736
mc7.mps.gz,easy,"F. Ortega, L. Wolsey",mc,,3040,1520,0,1520,1920,6080
mtest4ma.mps.gz,easy,MIPLIB submission pool,,,1950,975,0,975,1174,4875
neos-932721.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-56,,22266,21825,0,441,18085,107908
ab71-20-100.mps.gz,easy,MIPLIB submission pool,ab,,6689,6689,0,0,6380,41961
h80x6320.mps.gz,easy,MIPLIB submission pool,fixed-cost-network-flow,,12640,6320,0,6320,79,6320
neos8.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-15,,23228,23224,4,0,46324,313180
brasil.mps.gz,easy,MIPLIB submission pool,,,6612,3306,0,3306,3364,13224
ab51-40-100.mps.gz,easy,MIPLIB submission pool,ab,,12675,12675,0,0,11893,72745
neos-1603965.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-35,,15003,7999,0,7004,28984,56967
prod2.mps.gz,easy,MIPLIB submission pool,,,301,200,0,101,211,10501
neos-1061020.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-11,,14010,10333,3598,79,10618,114508
10teams.mps.gz,easy,MIPLIB submission pool,,,2025,1800,0,225,230,12150
neos-1445738.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-88,,20631,2150,0,18481,2145,40256
neos2.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-93,,2101,1040,0,1061,1103,7326
n370b.mps.gz,open,J. Aronson,n37,,10000,5000,0,5000,5150,20000
aligninq.mps.gz,easy,MIPLIB submission pool,,,1831,1830,0,1,340,15734
beasleyC2.mps.gz,easy,"F. Ortega, L. Wolsey",beasley,,2500,1250,0,1250,1750,5000
gt2.mps.gz,easy,MIPLIB submission pool,,,188,24,164,0,29,376
neos-983171.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-34,,8965,6557,0,2408,6711,36691
sp98ar.mps.gz,easy,"J. Goessens, S. v. Hoessel, L. Kroon",sp9,,15085,15085,0,0,1435,426148
neos4.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-65,,22884,17172,0,5712,38577,96042
neos-691058.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-110,,3006,1755,0,1251,2667,30837
n13-3.mps.gz,easy,A. Atamtürk,nxy-z,,3472,0,186,3286,1723,13516
mik-250-20-75-1.mps.gz,easy,MIPLIB submission pool,mik_250,,270,75,175,20,195,9270
23588.mps.gz,easy,MIPLIB submission pool,,,368,231,0,137,137,3701
stein45inf.mps.gz,infeasible,MIPLIB submission pool,stein,infeasible,45,45,0,0,332,1079
blp-ir98.mps.gz,easy,M. Lübbecke,blp,,6097,6031,0,66,486,79152
ran13x13.mps.gz,easy,J. Aronson,ran,,338,169,0,169,195,676
stein9inf.mps.gz,infeasible,MIPLIB submission pool,stein,infeasible,9,9,0,0,14,54
neos-860300.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-23,,1385,1384,0,1,850,384329
r50x360.mps.gz,easy,MIPLIB submission pool,pr_product,,720,360,0,360,410,1440
nh97_tension.mps.gz,easy,MIPLIB submission pool,,,1576,257,361,958,737,5264
g200x740.mps.gz,easy,MIPLIB submission pool,fixed-cost-network-flow,,1480,740,0,740,940,2960
rlp1.mps.gz,easy,MIPLIB submission pool,,,461,450,0,11,68,836
neos-1445765.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-88,,20617,2150,0,18467,2147,40230
tr12-30.mps.gz,easy,MIPLIB submission pool,,,1080,360,0,720,750,2508
eilC76-2.mps.gz,easy,J. Linderoth,eil,,28599,28599,0,0,75,314837
nexp-150-20-1-5.mps.gz,easy,MIPLIB submission pool,exp_and_fc,,4470,2235,0,2235,4620,11175
rococoC11-010100.mps.gz,easy,"A. Chabrier, E. Danna, C. Le Pape, L. Perron",rococo,,12321,12155,166,0,4010,46955
neos-585192.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-92,,2597,1044,0,1553,2628,72396
neos5.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-21,,63,53,0,10,63,2016
neos-1171448.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-8,,4914,2457,0,2457,13206,131859
icir97_tension.mps.gz,easy,MIPLIB submission pool,,,2494,262,573,1659,1203,22333
mod010.mps.gz,easy,MIPLIB submission pool,mod,,2655,2655,0,0,146,11203
flugpl.mps.gz,easy,MIPLIB submission pool,,,18,0,11,7,18,46
neos-498623.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-5,,9861,8500,0,1361,2047,148434
n3707.mps.gz,open,J. Aronson,n37,,10000,5000,0,5000,5150,20000
bc.mps.gz,easy,MIPLIB submission pool,bc,,1751,483,0,1268,1913,227072
disctom.mps.gz,easy,MIPLIB submission pool,,,10000,10000,0,0,399,30000
dcmulti.mps.gz,easy,MIPLIB submission pool,,,548,75,0,473,290,1315
neos-555343.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-15,,3815,3800,15,0,3326,16967
core2586-950.mps.gz,open,"A. Caprara, M. Fischetti, P. Toth",core,,13226,13215,0,11,2589,104678
neos-1223462.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-12,,5495,5180,315,0,5890,47040
neos-960392.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-94,,59376,59376,0,0,4744,189503
neos-574665.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-78,,740,184,64,492,3790,16792
cap6000.mps.gz,easy,MIPLIB submission pool,,,6000,6000,0,0,2176,48243
n3709.mps.gz,open,J. Aronson,n37,,10000,5000,0,5000,5150,20000
enlight_hard.mps.gz,easy,A. Zymolka,enlight,,200,100,100,0,100,560
misc04inf.mps.gz,infeasible,MIPLIB submission pool,misc,infeasible,4897,30,0,4867,1726,17253
swath3.mps.gz,easy,D. Panton,swath,,6805,2706,0,4099,884,34965
sp150x300d.mps.gz,easy,MIPLIB submission pool,sp_product,,600,300,0,300,450,1200
dfn-bwin-DBE.mps.gz,open,MIPLIB submission pool,network_design,,3285,2475,0,810,235,9855
mik-250-20-75-4.mps.gz,easy,MIPLIB submission pool,mik_250,,270,75,175,20,195,9270
timtab1CUTS.mps.gz,easy,"C. Liebchen, R. Möhring",timtab,,397,77,94,226,371,1742
dano3_3.mps.gz,easy,Daniel Bienstock,dano,,13873,69,0,13804,3202,79655
p500x2988c.mps.gz,easy,MIPLIB submission pool,pr_product,,5976,2988,0,2988,3488,11952
neos-1420546.mps.gz,open,NEOS Server Submission,neos-pseudoapplication-9,,26055,1125,0,24930,12671,67959
neos-827175.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-87,,32504,21350,0,11154,14187,110790
nu4-pr9.mps.gz,easy,MIPLIB submission pool,nus-prxy,,7350,7308,42,0,2220,22176
nsrand-ipx.mps.gz,easy,MIPLIB submission pool,,,6621,6620,0,1,735,223261
mc8.mps.gz,easy,"F. Ortega, L. Wolsey",mc,,3040,1520,0,1520,1920,6080
neos-913984.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-2,,76000,76000,0,0,1076,152000
neos-1582420.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-10,,10100,10000,100,0,10180,24814
neos-1423785.mps.gz,open,NEOS Server Submission,neos-pseudoapplication-98,,21506,1920,0,19586,25721,64082
qnet1_o.mps.gz,easy,MIPLIB submission pool,,,1541,1288,129,124,456,4214
ger50-17-trans-pop-3t.mps.gz,open,C. Raack,ger50,,22414,0,18062,4352,499,172035
neos-503737.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-47,,2850,2500,0,350,500,16850
mitre.mps.gz,easy,MIPLIB submission pool,,,10724,10724,0,0,2054,39704
nu120-pr9.mps.gz,easy,MIPLIB submission pool,nus-prxy,,7350,7308,42,0,2220,22176
ab72-40-100.mps.gz,easy,MIPLIB submission pool,ab,,12370,12370,0,0,11671,72137
neos-954925.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-48,,84718,84718,0,0,2989,844983
neos-1330346.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-49,,2664,2664,0,0,4248,13032
fast0507.mps.gz,easy,MIPLIB submission pool,,,63009,63009,0,0,507,409349
neos-578379.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-42,,17010,17010,0,0,21703,101560
neos-950242.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-72,,5760,5520,240,0,34224,104160
neos-872648.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-61,,175219,87575,0,87644,93291,350438
neos-662469.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-73,,18235,17907,328,0,1085,200055
