instance_name,original_split,official_group,evaluation_stratum
neos-3988577-wolgan.mps.gz,val,neos-pseudoapplication-64,unseen_family
neos-4338804-snowy.mps.gz,val,neos-pseudoapplication-40,unseen_family
neos-4763324-toguru.mps.gz,val,neos-pseudoapplication-106,unseen_family
neos-827175.mps.gz,val,neos-pseudoapplication-87,unseen_family
neos-950242.mps.gz,val,neos-pseudoapplication-72,unseen_family
neos17.mps.gz,val,neos-pseudoapplication-66,unseen_family
pg.mps.gz,val,,officially_ungrouped
radiationm18-12-05.mps.gz,val,radiation,seen_family
rail01.mps.gz,val,rail0,unseen_family
rail02.mps.gz,val,rail0,unseen_family
rocI-4-11.mps.gz,val,rocI,unseen_family
rocII-5-11.mps.gz,val,rocI,unseen_family
roi5alpha10n8.mps.gz,val,,officially_ungrouped
sorrell3.mps.gz,val,independentset,unseen_family
sp150x300d.mps.gz,val,sp_product,unseen_family
supportcase33.mps.gz,val,,officially_ungrouped
supportcase7.mps.gz,val,,officially_ungrouped
wachplan.mps.gz,val,,officially_ungrouped
academictimetablesmall.mps.gz,test,,officially_ungrouped
cryptanalysiskb128n5obj14.mps.gz,test,cryptanalysis,seen_family
csched007.mps.gz,test,csched,seen_family
dano3_5.mps.gz,test,dano,seen_family
graph20-20-1rand.mps.gz,test,graphs,unseen_family
irp.mps.gz,test,,officially_ungrouped
mad.mps.gz,test,,officially_ungrouped
map16715-04.mps.gz,test,map,seen_family
mzzv42z.mps.gz,test,,officially_ungrouped
n5-3.mps.gz,test,nxy-z,unseen_family
neos-1445765.mps.gz,test,neos-pseudoapplication-88,unseen_family
neos-3083819-nubu.mps.gz,test,neos-pseudoapplication-31,unseen_family
neos-3402294-bobin.mps.gz,test,neos-pseudoapplication-71,unseen_family
neos-4738912-atrato.mps.gz,test,neos-pseudoapplication-37,unseen_family
neos-5114902-kasavu.mps.gz,test,neos-pseudoapplication-104,unseen_family
neos-860300.mps.gz,test,neos-pseudoapplication-23,unseen_family
neos-873061.mps.gz,test,neos-pseudoapplication-61,unseen_family
neos-933966.mps.gz,test,neos-pseudoapplication-34,unseen_family
neos-957323.mps.gz,test,neos-pseudoapplication-48,unseen_family
ns1644855.mps.gz,test,neos-pseudoapplication-76,unseen_family
ns1760995.mps.gz,test,neos-pseudoapplication-12,unseen_family
nw04.mps.gz,test,,officially_ungrouped
p200x1188c.mps.gz,test,pr_product,unseen_family
physiciansched3-3.mps.gz,test,physiciansched,seen_family
rmatr200-p5.mps.gz,test,rmatr,seen_family
rococoC10-001000.mps.gz,test,rococo,seen_family
seymour1.mps.gz,test,,officially_ungrouped
sing44.mps.gz,test,sing,seen_family
sp98ar.mps.gz,test,sp9,seen_family
square41.mps.gz,test,square,unseen_family
square47.mps.gz,test,square,unseen_family
supportcase10.mps.gz,test,,officially_ungrouped
timtab1.mps.gz,test,timtab,unseen_family
uccase9.mps.gz,test,uccase,seen_family
uct-subprob.mps.gz,test,,officially_ungrouped
